row_id,movie_id,country_id,statement_id
movie_countries_7082,Q124464617,Q30,Q124464617-5a9c1bf6-4721-94ab-2fa4-41cf72b6207c
movie_countries_7083,Q1244648,Q55,Q1244648-B30A9981-3427-4891-B053-DC89DCA58A99
movie_countries_7084,Q12447679,Q668,Q12447679-DBE32A7C-F422-4FFD-A052-F480745033D8
movie_countries_7085,Q124479577,Q142,Q124479577-BCB3B648-BB44-4947-8EFF-D5BEDFA73F4B
movie_countries_7086,Q12448457,Q668,Q12448457-EF73C8B4-C22D-4DC6-8A3E-B51CB086F059
movie_countries_7087,Q1244899,Q183,Q1244899-C50AD478-0DE0-4E17-AB46-4729C389CE70
movie_countries_7088,Q124497778,Q30,Q124497778-54cc534c-440a-4ccf-c424-603c5f8228e1
movie_countries_7089,Q12450642,Q668,Q12450642-6091011C-D000-4DB4-86A0-F7A6E7353D9F
movie_countries_7090,Q124512337,Q30,Q124512337-d6893ba1-4d6e-d781-0614-e2eb666ec508
movie_countries_7091,Q124526535,Q414,Q124526535-5c4cd2bc-4830-7422-7899-154eb4b98f1e
movie_countries_7092,Q124528247,Q145,Q124528247-0506535f-4324-d79e-3b21-09a57d6dcb7c
movie_countries_7093,Q124528247,Q30,Q124528247-df4f0dc9-4b0a-e745-a1a3-639956520f3e
movie_countries_7094,Q124528281,Q145,Q124528281-458cf92b-4362-86da-e8d0-c6a0ab743bab
movie_countries_7095,Q124537378,Q145,Q124537378-4a09c2b3-43ab-fcc9-85e2-574b262afb58
movie_countries_7096,Q124537378,Q29,Q124537378-fbc1bf2f-49aa-5b98-e513-2f8c65b5c158
movie_countries_7097,Q12459117,Q668,Q12459117-7C3402E4-3CA9-4BDC-B15A-B501FB5A679C
movie_countries_7098,Q124608269,Q145,Q124608269-7947c4e3-42e4-6cb0-8f7d-9ff15fc304c9
movie_countries_7099,Q124608269,Q27,Q124608269-ca6ce2db-40e5-1c34-cacf-08d512cd4d08
movie_countries_7100,Q124611547,Q145,Q124611547-87508f3d-4984-d040-669d-422adaaf07ed
movie_countries_7101,Q124611992,Q414,Q124611992-7df5f720-4c8f-c2f6-89ab-0301d7115cfb
movie_countries_7102,Q1246152,Q30,Q1246152-156BB566-3E67-45A5-9647-4574B1FD1595
movie_countries_7103,Q124615382,Q414,Q124615382-dc5ce974-43b4-4b8b-748a-8b8eecce0102
movie_countries_7104,Q124615876,Q30,Q124615876-6645e631-42cb-0b2c-a33b-b9a5ba811100
movie_countries_7105,Q124615876,Q408,Q124615876-bc4b0441-42ef-dc42-0487-9ff4977035f0
movie_countries_7106,Q124621511,Q227,Q124621511-c48e469f-8be8-47f5-8fd3-8d16745d5d79
movie_countries_7107,Q124622268,Q183,Q124622268-dd0d2217-4534-7ee5-f11e-9ab42ea439dd
movie_countries_7108,Q124625067,Q30,Q124625067-7569a347-4d54-e776-540d-ce652d9fe9f4
movie_countries_7109,Q124630194,Q30,Q124630194-8d501ddb-4bcc-a231-2045-24e31b1387b8
movie_countries_7110,Q124630715,Q37,Q124630715-52d9e7cf-424d-6774-a271-5531a9d564d7
movie_countries_7111,Q124635920,Q55,Q124635920-b9520256-43ce-adaf-5133-92c9d51a2b16
movie_countries_7112,Q124637577,Q414,Q124637577-e0a02402-48d4-5a66-6bdb-1f155a85c452
movie_countries_7113,Q124637896,Q414,Q124637896-0de24f33-4449-e203-31cb-5bab05f953f0
movie_countries_7114,Q124652747,Q30,Q124652747-c8760e81-4590-082c-8f55-bb21e26a53fa
movie_countries_7115,Q124653711,Q414,Q124653711-412a9ea7-493d-b3dc-b438-212603cc6824
movie_countries_7116,Q124658205,Q414,Q124658205-fc37ee41-4ff3-cee2-d351-e5ef5d713d1a
movie_countries_7117,Q124658699,Q414,Q124658699-3fdb0a0e-49c1-6368-699f-7c0968ad952f
movie_countries_7118,Q124659049,Q414,Q124659049-6150e985-4a1d-4b91-2080-584727ac6f41
movie_countries_7119,Q124659329,Q414,Q124659329-76a20412-4a6b-e74c-c1f2-4b5919364773
movie_countries_7120,Q124664023,Q142,Q124664023-17bfb5a8-485e-5123-7a2d-e6176f4600e3
movie_countries_7121,Q124694260,Q881,Q124694260-163e131c-4a8f-8cf8-5809-4bdb0a0110d3
movie_countries_7122,Q124695390,Q34,Q124695390-9142e014-40b8-9f01-6fdb-333faab80a4b
movie_countries_7123,Q12470091,Q252,Q12470091-E3DB2263-A64F-4BA1-A406-4BD6B3D92237
movie_countries_7124,Q12470109,Q252,Q12470109-FD50CCE0-1DC2-4023-87D0-1BD1099EA920
movie_countries_7125,Q12470120,Q252,Q12470120-D0A9319E-0D02-444B-BE03-4077F6901233
movie_countries_7126,Q12470375,Q252,Q12470375-2BE812D3-7DED-4499-BE56-F9185FE431F6
movie_countries_7127,Q12470376,Q252,Q12470376-9ACD5388-8000-4A4C-8B72-41E7C389F5C1
movie_countries_7128,Q12470377,Q252,Q12470377-8D972FEE-D6F1-4B39-8622-5A28B85EE2D0
movie_countries_7129,Q12470387,Q252,Q12470387-B20C8F4B-9470-4A0C-BE5F-32ADC0130430
movie_countries_7130,Q12470427,Q252,Q12470427-D2458D8D-7BC2-4F5A-A3E7-CF18FDF8D8B6
movie_countries_7131,Q1247048,Q17,Q1247048-B0B39CF9-7877-4B40-9531-F750576ADDA7
movie_countries_7132,Q124706420,Q142,Q124706420-9135d2fa-4d73-fd2c-3826-6d89828df619
movie_countries_7133,Q124706420,Q145,Q124706420-84159166-46ed-f24a-710f-6b6222cdfabf
movie_countries_7134,Q124706420,Q30,Q124706420-1fdf15ac-4206-bdc9-dea7-4d998e383ecc
movie_countries_7135,Q12470673,Q252,Q12470673-4F06F726-2C07-44CF-85ED-20E32BE8908E
movie_countries_7136,Q124707042,Q16,Q124707042-31420479-49a0-0c6f-aa89-4cb8b942005c
movie_countries_7137,Q124707042,Q258,Q124707042-1d64878b-4e70-d80c-c730-95db78fc19c4
movie_countries_7138,Q124707042,Q30,Q124707042-6a75a3ac-401e-fb8c-b580-5e500d800a0e
movie_countries_7139,Q12470887,Q252,Q12470887-385FF109-9A1C-48E6-9D3F-61F1A45FA6EE
movie_countries_7140,Q12471324,Q252,Q12471324-2DE8D221-A974-4DD4-B5FA-BB7162C49AA4
movie_countries_7141,Q12471944,Q833,Q12471944-A04DD305-F139-4CD5-8FB1-ECBEA3F59D8E
movie_countries_7142,Q1247216,Q30,Q1247216-4F3E49E9-C52C-448D-BFED-B0722FB48243
movie_countries_7143,Q12472472,Q252,Q12472472-D8339F62-4B6A-48BC-AAA1-97B654D31CFE
movie_countries_7144,Q12472474,Q252,Q12472474-F5C86038-F201-4AED-BBA2-DD788A6428C1
movie_countries_7145,Q12472893,Q252,Q12472893-CC260EAF-E508-4997-A1CC-357018F27A10
movie_countries_7146,Q1247293,Q189,Q1247293-719C5661-6A69-4D56-88B9-27EF3A34157F
movie_countries_7147,Q1247293,Q20,Q1247293-32C3E221-FB5E-4D16-928B-42C37E9B6894
movie_countries_7148,Q1247293,Q34,Q1247293-959EBBE7-7C32-4895-9E82-29DAF15C91FB
movie_countries_7149,Q1247293,Q35,Q1247293-7c1496b8-4a7e-4103-ef56-11c3192a3bc5
movie_countries_7150,Q1247320,Q142,Q1247320-00A2CD02-9B67-44BB-B657-E6570F23E8A9
movie_countries_7151,Q1247320,Q29,Q1247320-3293E6C5-42FC-4C26-9E76-3FA3AC495FF6
movie_countries_7152,Q1247320,Q31,Q1247320-D6FEDA1C-D3F7-43E2-846E-EB9EC472B20C
movie_countries_7153,Q1247320,Q801,Q1247320-8B2BFC67-7483-455B-93F8-628AF29ACCA7
movie_countries_7154,Q124734067,Q414,Q124734067-88f476c4-4980-6075-a1f3-c546e0166ba5
movie_countries_7155,Q12473524,Q252,Q12473524-346B0BBE-8D0E-4F4E-A378-1B11E709E47B
movie_countries_7156,Q12473778,Q252,Q12473778-11901D43-09AE-48F5-8D68-7A88DA0E5A7C
movie_countries_7157,Q12474262,Q252,Q12474262-7163869E-4652-49E4-A50B-6190682A1E1B
movie_countries_7158,Q124744751,Q252,Q124744751-1c3e0839-81c0-46c7-8123-4ede807022d8
