row_id,person_id,name,description,birth_date
people_34153,Q3632633,Kishori Shahane,Indian actress,1968-04-23T00:00:00Z
people_34154,Q3632672,Makarand Anaspure,Indian actor,1973-06-22T00:00:00Z
people_34155,Q363271,David Warner,British actor (1941–2022),1941-07-29T00:00:00Z
people_34156,Q3632832,Sushma Seth,Indian actress,1936-06-20T00:00:00Z
people_34157,Q3633203,Ali Zafar,Pakistani singer and film actor,1980-05-18T00:00:00Z
people_34158,Q3633596,Balufu Bakupa-Kanyinda,Belgian film director,1957-10-30T00:00:00Z
people_34159,Q363386,Dermot Mulroney,American actor,1963-10-31T00:00:00Z
people_34160,Q363388,Mikko Leppilampi,Finnish actor and musician,1978-09-22T00:00:00Z
people_34161,Q3633940,Deepak Dobriyal,Indian actor,1975-09-01T00:00:00Z
people_34162,Q3633946,Nagesh Kukunoor,Indian actor,1967-03-30T00:00:00Z
people_34163,Q3633952,Sushant Singh,Indian actor (1972-),1972-03-09T00:00:00Z
people_34164,Q3633989,Anita Hassanandani,Indian actress,1980-04-14T00:00:00Z
people_34165,Q363400,Nick Frost,English actor,1972-03-28T00:00:00Z
people_34166,Q363413,Vittorio Storaro,Italian cinematographer,1940-06-24T00:00:00Z
people_34167,Q363458,Graeme Clifford,Australian film director and film editor,1942-09-27T00:00:00Z
people_34168,Q3634619,Barbara Enrichi,Italian actress,1961-04-14T00:00:00Z
people_34169,Q3634685,Barbara Scoppa,Italian actress,1957-10-21T00:00:00Z
people_34170,Q3634703,Barbarella,Italian pornographic actress (1963-2015),1963-05-28T00:00:00Z
people_34171,Q363518,Julian Sands,English actor (1958-2023),1958-01-04T00:00:00Z
people_34172,Q363525,Stuart Townsend,Irish actor,1972-12-15T00:00:00Z
people_34173,Q3635516,Mohan Babu,Indian actor,1952-03-19T00:00:00Z
people_34174,Q3635980,Nadira Babbar,"Indian theatre actress, director and actress",1948-01-20T00:00:00Z
people_34175,Q363659,Bryan Brown,Australian actor,1947-06-23T00:00:00Z
people_34176,Q363666,Jerry Zucker,American director and producer,1950-03-11T00:00:00Z
people_34177,Q363684,Chris Sarandon,American actor,1942-07-24T00:00:00Z
people_34178,Q363691,Ian Richardson,Scottish actor (1934–2007),1934-04-07T00:00:00Z
people_34179,Q363703,Eduardo Noriega,Spanish actor,1973-08-01T00:00:00Z
people_34180,Q3637342,Bebo Storti,Italian actor and politician,1956-05-24T00:00:00Z
people_34181,Q3637397,Becky Wahlstrom,American actress,1975-04-25T00:00:00Z
people_34182,Q3637420,Bedy Moratti,Italian actress,1942-01-12T00:00:00Z
people_34183,Q3637962,Ben Weber,American actor,1972-05-14T00:00:00Z
people_34184,Q3638013,Benedetta Buccellato,Italian actress,1953-02-17T00:00:00Z
people_34185,Q3638029,Benedetta Valanzano,Italian actress,1985-05-05T00:00:00Z
people_34186,Q363810,Tim Powers,American science fiction writer and actor (born 1952),1952-02-29T00:00:00Z
people_34187,Q3638268,Benjamin Tuček,"Czech director, scriptwriter and writer",1972-07-15T00:00:00Z
people_34188,Q3638431,Beppe Chierici,Italian actor,1937-04-28T00:00:00Z
people_34189,Q3638732,Bernardino Terracciano,Italian actor,1948-01-01T00:00:00Z
people_34190,Q3639159,Bettina Giovannini,Italian actress,1958-12-15T00:00:00Z
people_34191,Q3639389,Bianca Nappi,Italian actress,1979-01-12T00:00:00Z
people_34192,Q363978,Andrew Knott,British actor,1979-11-22T00:00:00Z
people_34193,Q3639794,Big Bill Morganfield,American blues singer and guitarist,1956-06-19T00:00:00Z
people_34194,Q363989,Paul Schrader,American screenwriter and film director (born 1946),1946-07-22T00:00:00Z
people_34195,Q3639959,Bill Camp,American actor,1964-10-22T00:00:00Z
people_34196,Q3640043,Billy Kay,American actor,1984-04-10T00:00:00Z
people_34197,Q3640867,Blas Roca-Rey,Peruvian-Italian actor,1961-01-21T00:00:00Z
people_34198,Q3640890,Blayne Weaver,American actor,1976-04-09T00:00:00Z
people_34199,Q36427,Amy Ried,American pornographic actress,1985-04-15T00:00:00Z
people_34200,Q364286,Brent Everett,Canadian pornographic actor and director,1984-02-10T00:00:00Z
people_34201,Q36434,Audrey Hollander,American pornographic actress,1979-11-04T00:00:00Z
people_34202,Q3643708,Brandon Killham,American actor,1997-12-30T00:00:00Z
people_34203,Q3643715,Brandon Molale,American actor,1971-11-24T00:00:00Z
people_34204,Q364406,Kelly Slater,American surfer (born 1972),1972-02-11T00:00:00Z
