row_id,movie_id,person_id,statement_id
directors_8572,Q15046598,Q5537604,Q15046598-3530b14d-4980-10d0-3932-8ea20954fc99
directors_8573,Q15048661,Q5278063,Q15048661-54EE7728-3AEE-4F67-8851-91B47F840330
directors_8574,Q15051674,Q381477,Q15051674-114D1EF9-E415-41FB-9FA1-8B47265BE34D
directors_8575,Q15051774,Q16733231,Q15051774-D5D6FA9A-D72B-4291-96CD-4D0E6A424A39
directors_8576,Q15052180,Q113654385,Q15052180-921D1239-E26B-4650-BB4B-D3E4342FC2D7
directors_8577,Q15052184,Q16731741,Q15052184-4A481997-A07F-42E0-ABDB-08DB7AFC3C42
directors_8578,Q15052302,Q111381787,Q15052302-81E9474B-C3BC-4084-8755-9624AB7B1866
directors_8579,Q15052379,Q113559045,Q15052379-0B26B06F-A996-4AC0-937D-B80C3FAF96D5
directors_8580,Q15052387,Q5112226,Q15052387-4A8DC18D-F8CC-45D7-B534-7038F0C23631
directors_8581,Q15052391,Q105699556,Q15052391-978844E2-967F-4223-9A63-CEF2AE945BE5
directors_8582,Q15052392,Q3611025,Q15052392-f49cf94b-415d-bfac-e6b2-c37750008bf4
directors_8583,Q15052392,Q5216883,Q15052392-CDF74A76-B94B-4EC2-960F-3F8F8CBFCEBF
directors_8584,Q15052392,Q6850344,Q15052392-7314a64a-4edc-d84c-64b1-6e31d16c04bf
directors_8585,Q15052400,Q5984911,Q15052400-B4532C34-3E3B-41C8-A3EE-EA70DFA60C2C
directors_8586,Q15052408,Q3505238,Q15052408-5031584f-4390-8630-dd6b-b7df1965199a
directors_8587,Q15052416,Q38054843,Q15052416-9D4CE9E3-AC83-4BD1-8DFE-6F3D206C0191
directors_8588,Q15052416,Q435418,Q15052416-813F6AA0-1FE8-49B1-8793-A51A2781AC5E
directors_8589,Q15053900,Q117860298,Q15053900-0FA16209-EA4F-4347-B920-51EA783E16F6
directors_8590,Q15055426,Q534662,Q15055426-13aaf994-4fa9-2a72-469e-2a2dc575dda5
directors_8591,Q15055478,Q7151786,Q15055478-08260E66-623A-4B29-8BA1-4B1AC8E7821F
directors_8592,Q1505555,Q19921853,Q1505555-91C912F7-D12C-45A5-ACAE-85C93E546998
directors_8593,Q15055934,Q16378074,Q15055934-647A591D-B2DB-4DDC-A41D-2F437B78D3D7
directors_8594,Q1505923,Q518868,q1505923-07B900E7-5562-41E3-B9B8-623CFB186981
directors_8595,Q15059355,Q6787005,Q15059355-C4DBD278-8645-4AF0-BC2B-5B3A5CDC866A
