row_id,movie_id,title,description,release_date,duration
movies_138,Q101091774,The Man from Toronto,2022 film directed by Patrick Hughes,2022-08-12T00:00:00Z,110.0
movies_139,Q101093410,Benediction,2021 film directed by Terence Davies,2021-09-12T00:00:00Z,137.0
movies_140,Q101094463,Spell,2020 film by Mark Tonderai,2020-01-01T00:00:00Z,91.0
movies_141,Q101098258,The White Tiger,2021 film directed by Ramin Bahrani,2021-01-13T00:00:00Z,125.0
movies_142,Q101112656,The Brutalist,2024 film directed by Brady Corbet,2024-09-01T00:00:00Z,215.0
movies_143,Q101118878,The Virtuoso,2021 film directed by Nick Stagliano,2021-01-01T00:00:00Z,
movies_144,Q101154409,A Belle for Christmas,2014 film directed by Jason Dallas,2014-01-01T00:00:00Z,
movies_145,Q101157677,The Day of the Lord,2020 film directed by Santiago Alvarado Ilarri,2020-01-01T00:00:00Z,
movies_146,Q101189470,Ashes and Snow,2005 film directed by Gregory Colbert,2005-01-01T00:00:00Z,62.0
movies_147,Q101195419,Denting Kematian,Indonesia Film directed by Rudi Soedjarwo,2020-10-30T00:00:00Z,86.0
movies_148,Q101201255,Aftermath,2013 film directed by Thomas Farone,2013-01-01T00:00:00Z,84.0
movies_149,Q101215825,Maria Chapdelaine,2021 film directed by Sébastien Pilote,2021-09-01T00:00:00Z,
movies_150,Q101229556,Orphan: First Kill,2022 film directed by William Brent Bell,2022-07-27T00:00:00Z,98.0
movies_151,Q101235198,Operation Christmas Drop,2020 film directed by Martin Wood,2020-11-05T00:00:00Z,95.0
movies_152,Q101237151,Citation,2020 Nigerian film directed by Kunle Afolayan,2020-11-06T00:00:00Z,151.0
movies_153,Q101242346,"Egal was ich tue, sie lieben es",2011 film directed by Romy Steyer,2011-01-01T00:00:00Z,
movies_154,Q101244962,Blood and Money,2020 film directed by John Barr,2020-01-01T00:00:00Z,
movies_155,Q101245020,"Fiori, Fiori, Fiori",2020 Italian short film,2020-09-05T00:00:00Z,12.0
movies_156,Q101245186,Rendel 2: Cycle of Revenge,2024 film directed by Jesse Haaja,2024-06-21T00:00:00Z,99.0
movies_157,Q101245207,The Wolf of Snow Hollow,2020 film directed by Jim Cummings,2020-10-09T00:00:00Z,83.0
movies_158,Q101245257,Le silence de la forêt,"2003 film directed by Bassek Ba Kobhio, Didier Ouénangaré",2003-01-01T00:00:00Z,93.0
movies_159,Q101245261,"Jump, Darling",2020 film directed by Phil Connell,2020-10-02T00:00:00Z,90.0
movies_160,Q101245363,More Beautiful for Having Been Broken,2019 film by Nicole Conn,2019-01-01T00:00:00Z,
movies_161,Q101245383,Christmas on the Square,2020 film directed by Debbie Allen,2020-01-01T00:00:00Z,98.0
movies_162,Q101245404,Fashion Designer s/o Ladies Tailor,2017 film directed by Vamsy,2017-06-02T00:00:00Z,
movies_163,Q101245465,"Me, You, Madness",2021 film directed by Louise Linton,2021-02-12T00:00:00Z,
movies_164,Q101245576,Heaven,film directed by Tomáš Etzler,2021-06-14T00:00:00Z,71.0
movies_165,Q101246909,Ni de coña,2020 film directed by Fernando Ayllón,2020-11-13T00:00:00Z,90.0
movies_166,Q101247441,Ahmed Gassiaux,Moroccan film 2010,2010-01-01T00:00:00Z,77.0
movies_167,Q1012729,Jasmine Women,2004 film by Hou Yong,2004-06-15T00:00:00Z,130.0
movies_168,Q101305401,The Call,2020 film directed by Timothy Woodward Jr.,2020-10-02T00:00:00Z,97.0
movies_169,Q1014049,Blind Mountain,2007 film by Li Yang,2007-05-20T00:00:00Z,102.0
movies_170,Q101405992,Karel,documentary film directed by Olga Špátová,2020-01-01T00:00:00Z,127.0
movies_171,Q101417413,"Gump - pes, který naucil lidi zít",2020 film directed by František Brabec,2020-01-01T00:00:00Z,92.0
movies_172,Q101423189,Groeten van Gerri,Dutch movie,2020-06-25T00:00:00Z,
movies_173,Q101423732,The Princess Switch: Switched Again,2020 film directed by Mike Rohl,2020-11-19T00:00:00Z,96.0
movies_174,Q101435417,Hold-Up,2020 conspiracy documentary film about the Covid-19 outbreak,2020-11-11T00:00:00Z,163.0
movies_175,Q101436972,50 Cent: Refuse 2 Die,"2005 film directed by Mike Corbera, Rick Underhill",2005-11-08T00:00:00Z,82.0
movies_176,Q101438775,Goliath,2022 film directed by Frédéric Tellier,2022-03-09T00:00:00Z,122.0
movies_177,Q101438781,Secret Name,2021 film directed by Aurélia Georges,2021-01-01T00:00:00Z,112.0
movies_178,Q101440388,Moonfall,2022 film directed by Roland Emmerich,2022-02-03T00:00:00Z,120.0
movies_179,Q101487946,Jukebox,Quebec documentary film by Guylaine Maroist and Éric Ruel released in 2020,2020-09-04T00:00:00Z,99.0
movies_180,Q101497580,Chlap na strídacku,2020 film directed by Petr Zahrádka,2020-01-01T00:00:00Z,109.0
movies_181,Q101503314,Wet Dog,2021 film directed by Damir Lukačević,2021-09-09T00:00:00Z,103.0
movies_182,Q101576107,Des histoires inventées,film directed by Jean-Marc E. Roy,2018-01-01T00:00:00Z,71.0
movies_183,Q101580184,Sabar Ini Ujian,Indonesian film 2020,2020-09-05T00:00:00Z,125.0
movies_184,Q1015807,Cicak Man,2006 film directed by Yusry KRU,2006-01-01T00:00:00Z,107.0
movies_185,Q101584110,Akhirat: A Love Story,2021 film directed by Jason Iskandar,2021-01-01T00:00:00Z,112.0
movies_186,Q1015851,Cicak Man 2: Planet Hitam,2008 film directed by Yusry KRU,2008-12-11T00:00:00Z,999.0
movies_187,Q1015884,"Turn Left, Turn Right","2003 film by Johnnie To, Wai Ka-Fai",2003-01-01T00:00:00Z,95.0
movies_188,Q1015942,Turtles Are Surprisingly Fast Swimmers,2005 film by Satoshi Miki,2005-07-02T00:00:00Z,90.0
movies_189,Q101623511,Kill Pinochet,2020 Chilean film,2020-01-01T00:00:00Z,81.0
movies_190,Q101624592,The Blair Witch Project: A Hardcore Parody,2011 American pornographic film directed by Dick Chibbles,2011-08-01T00:00:00Z,99.0
movies_191,Q101627010,Heavily in Love!,2018 Dutch film directed by Jamel Aattache,2018-10-11T00:00:00Z,86.0
movies_192,Q101627339,The Barcelona Vampiress,2020 film directed by Lluís Danés i Roca,2020-12-04T00:00:00Z,103.0
movies_193,Q1016369,Burke & Hare,2010 film directed by John Landis,2010-10-29T00:00:00Z,91.0
movies_194,Q101666960,The Guilty,2021 film directed by Antoine Fuqua,2021-01-01T00:00:00Z,90.0
