row_id,movie_id,person_id,statement_id
cast_32313,Q1157372,Q2757345,q1157372-1A08FB55-D673-4522-8802-88494BDDB2B8
cast_32314,Q1157372,Q3069468,Q1157372-1FE0D3CC-E09C-425A-9B45-4CC081EB28AC
cast_32315,Q1157372,Q323285,q1157372-02a2e7ce-52d8-4457-83c7-715571728db7
cast_32316,Q1157372,Q343299,q1157372-1F139594-7D2F-4E34-9CD6-C3A1EB1E9E47
cast_32317,Q1157372,Q4961077,Q1157372-D63D5EB8-3DE7-48F9-9EA7-863A07CFEFC4
cast_32318,Q1157372,Q5941018,q1157372-fb6dad55-84a9-4b9d-8a22-4e50b7b7cf05
cast_32319,Q1157372,Q6100480,q1157372-c4324df3-2aa6-4bd7-b9b2-3008b5046aae
cast_32320,Q115743067,Q12731997,Q115743067-f873d079-4213-b0f8-fc7b-cd4b79168b9c
cast_32321,Q115743067,Q79402372,Q115743067-b12baa1f-4f49-a57d-f733-61e1f2352f04
cast_32322,Q11574347,Q2673038,Q11574347-36936024-F87F-41EC-A020-23FD68F0CCE8
cast_32323,Q11574347,Q3545180,Q11574347-3EAED725-DB3D-4C97-8D7C-4866E34AE50D
cast_32324,Q11574347,Q3548160,Q11574347-FC9209B4-5614-4204-BBAE-0A0DCB180523
cast_32325,Q11574347,Q875644,Q11574347-B4A2CD97-4070-47BA-AFE8-D2159A8998C1
cast_32326,Q115746231,Q1190037,Q115746231-2D4395E3-61A9-4F00-B9E8-DEEDFD04EF78
cast_32327,Q115746231,Q1872491,Q115746231-D825B2E4-BF60-4666-98D5-C6D0822443E1
cast_32328,Q115746231,Q2057449,Q115746231-9B5BD23D-E974-49A8-9C6C-FDE26F201595
cast_32329,Q115746231,Q316629,Q115746231-B76E9719-BCD4-4C05-BE2B-2ADD2FAE6340
cast_32330,Q115746231,Q3574528,Q115746231-449D3943-9AB3-4F02-8E37-AE429E687059
cast_32331,Q115746231,Q445995,Q115746231-D721CE5D-54F5-4992-AB19-9A3364F71E6A
cast_32332,Q115746231,Q5233065,Q115746231-B20C4014-D06D-4AA6-A3C3-7B45F927BD0D
cast_32333,Q115746231,Q6214266,Q115746231-250012DF-D273-4A0A-8311-0DEFE2B1B3F7
cast_32334,Q115749,Q4919112,Q115749-ef9af9ea-480f-36d6-5915-1a1b24e6db2d
cast_32335,Q1157491,Q23365,q1157491-96F8431E-F42D-44AD-941D-3CC7060D48B8
cast_32336,Q1157491,Q355163,q1157491-EA316C8C-CFCC-41AA-8C8B-B876469F3242
cast_32337,Q115756264,Q17490250,Q115756264-450f7c12-4c14-e944-d31c-32ad737706ed
cast_32338,Q115756264,Q440368,Q115756264-0f3fed77-42d3-9cd9-f769-2f40e6d0e6c2
cast_32339,Q115756264,Q5407903,Q115756264-8b7ca820-4a2e-94d7-b57a-152ffd286890
cast_32340,Q115756264,Q6181811,Q115756264-2f339460-4e3c-73bd-4d64-9b0b26c3c5c7
cast_32341,Q115756264,Q69459244,Q115756264-eec6d9fd-4f0c-3f16-0b43-306b5a133675
cast_32342,Q115756264,Q83236733,Q115756264-99d44c7d-4b82-d296-a8d1-558c0332f951
cast_32343,Q115760,Q1033016,q115760-B73C1FE2-A657-4AA4-A941-F2CB44DC5F4C
cast_32344,Q115760,Q1082835,Q115760-56C6C16B-EE78-44B6-9F0E-5D8E47579998
cast_32345,Q115760,Q115735,q115760-A9D4A599-ABCD-40C3-94CE-2163FF38D2EE
cast_32346,Q115760,Q116219,q115760-91A40E19-2858-4B4E-B5EB-5155BE85757C
cast_32347,Q115760,Q11882362,Q115760-A2C079C8-F9E9-4C38-8B04-70FCA6F88998
cast_32348,Q115760,Q16604162,Q115760-923BF7B6-1AF2-4E54-9862-715C3A841105
cast_32349,Q115760,Q204299,Q115760-A1841175-D033-43F8-B1BC-CF01A4C4A16F
cast_32350,Q115760,Q233882,q115760-1A52B474-1D8A-4DD9-9333-D2DEF6151BF4
cast_32351,Q115760,Q236582,Q115760-F65C91DE-0F53-4F18-9780-112C4EF16B2D
cast_32352,Q115760,Q242557,Q115760-06BEA163-6643-4116-8DD9-3517428EF9A8
cast_32353,Q115760,Q276050,Q115760-B9C58C4F-99D3-4727-A7B0-7F679BBC5D30
cast_32354,Q115760,Q2763982,Q115760-7C9DF1B4-620F-465C-AC7B-F0BA618898BA
cast_32355,Q115760,Q301940,Q115760-7428B3A6-837A-4638-82BB-361A3AF6872F
cast_32356,Q115760,Q3117917,Q115760-91135BB1-269A-4E4D-B4B2-87E9A862FC35
cast_32357,Q115760,Q452462,Q115760-A3A03995-8813-4579-8FB9-3D4B65ACCF11
cast_32358,Q115760,Q4888074,Q115760-0F28D936-D4C6-457A-87A0-092F764B6365
cast_32359,Q115760,Q5208588,Q115760-7D5B600C-E94F-438F-9954-69D671BBDD0D
cast_32360,Q115760,Q526468,q115760-05636ADA-5A93-4D78-8256-0DF681DA912B
cast_32361,Q115760,Q533470,q115760-1E158130-8C94-4EAE-A0AE-E1644BAB925B
cast_32362,Q115760,Q6192912,Q115760-E80B9790-F65A-4942-B627-6C4AD10855C9
